description,name,room_type,host,price,income,rank,geometry
,2673571,Private room,3908345,50,150,591,"<Point><coordinates>-5.974277,37.401855,0.0</coordinates></Point>"
,3727329,Entire home/apt,19041756,150,150,592,"<Point><coordinates>-5.969413,37.425564,0.0</coordinates></Point>"
,1981148,Private room,9554875,21,147,593,"<Point><coordinates>-5.968476,37.37246,0.0</coordinates></Point>"
,4183261,Shared room,20218732,21,147,594,"<Point><coordinates>-5.987551,37.410791,0.0</coordinates></Point>"
,6034257,Private room,15760992,29,145,595,"<Point><coordinates>-5.978931,37.404676,0.0</coordinates></Point>"
,1256690,Private room,6845197,29,145,596,"<Point><coordinates>-5.982419,37.398882,0.0</coordinates></Point>"
,1166153,Entire home/apt,1745683,72,144,597,"<Point><coordinates>-6.003898,37.380511,0.0</coordinates></Point>"
,4717701,Private room,24371883,72,144,598,"<Point><coordinates>-5.980956,37.380334,0.0</coordinates></Point>"
,2459545,Entire home/apt,12574807,72,144,599,"<Point><coordinates>-5.984357,37.384851,0.0</coordinates></Point>"
,3068843,Private room,15617805,36,144,600,"<Point><coordinates>-5.975887,37.373599,0.0</coordinates></Point>"
,3426990,Private room,17275897,36,144,601,"<Point><coordinates>-5.974435,37.356854,0.0</coordinates></Point>"
,5963000,Private room,3908345,72,144,602,"<Point><coordinates>-5.972816,37.400965,0.0</coordinates></Point>"
,1933551,Entire home/apt,4166821,143,143,603,"<Point><coordinates>-6.004381,37.386423,0.0</coordinates></Point>"
,5677563,Entire home/apt,18079520,143,143,604,"<Point><coordinates>-5.982702,37.364686,0.0</coordinates></Point>"
,5390861,Private room,13706705,47,141,605,"<Point><coordinates>-5.995585,37.374982,0.0</coordinates></Point>"
,714696,Entire home/apt,3680734,69,138,606,"<Point><coordinates>-5.981235,37.364146,0.0</coordinates></Point>"
,2684291,Entire home/apt,11509750,67,134,607,"<Point><coordinates>-6.007523,37.387699,0.0</coordinates></Point>"
,5726165,Private room,29688506,44,132,608,"<Point><coordinates>-6.007652,37.37516,0.0</coordinates></Point>"
,5799441,Entire home/apt,20692777,129,129,609,"<Point><coordinates>-6.009107,37.379323,0.0</coordinates></Point>"
,3169835,Private room,16078152,43,129,610,"<Point><coordinates>-5.977135,37.395427,0.0</coordinates></Point>"
