id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9214826,Spacious bachelor apt. in Toronto,46024106,Janet,,Dovercourt-Wallace Emerson-Junction,43.66493,-79.43612,Entire home/apt,81,1,141,2019-08-31,3.08,7,340
9226176,22ftx14ft+Food!VideoTourMemoryFoamMatress$9KLuxury,47968254,Was,,Bathurst Manor,43.76037,-79.45668,Private room,70,30,25,2018-10-19,0.68,3,0
9226638,"Trendy, 1-Bedroom Condo with View!",4001410,Eva,,Waterfront Communities-The Island,43.64892,-79.38784,Entire home/apt,130,1,191,2019-08-25,4.27,1,160
9227493,Large bright room.,47973512,Colleen,,Morningside,43.79024,-79.21216,Private room,45,1,0,,,1,0
9227850,Sunny Annex/Seaton Village House.,45294446,Maggie,,Annex,43.66899,-79.41407,Entire home/apt,101,1,2,2016-07-04,0.05,1,0
9230956,"Spacious Apartment, Downtown West",8220144,Jayne,,Roncesvalles,43.64625,-79.4439,Entire home/apt,87,2,17,2017-03-19,0.38,1,0
9231962,Best in class - Yorkville!,41257028,Mohsin,,Bay Street Corridor,43.66682,-79.38734,Entire home/apt,135,4,11,2016-07-11,0.24,1,0
9233101,West Queen West Hideaway,39619269,Aline,,Little Portugal,43.64767,-79.42443,Entire home/apt,99,2,18,2017-04-12,0.39,3,0
9234087,Sub Penthouse/ King west /prking/ Amazing View!,10374978,Raia,,Niagara,43.64095,-79.40647,Private room,90,1,51,2018-08-06,1.23,1,0
9234677,Hip Two Bedroom in Dundas West!,13066292,Jose,,Little Portugal,43.64965,-79.43148,Entire home/apt,101,1,88,2019-09-08,1.92,15,316
9235120,Hearty Loft in Dundas W!,13066292,Jose,,Little Portugal,43.64843,-79.43133,Entire home/apt,82,1,193,2019-09-09,4.71,15,351
9237282,Trendy King West Loft!,18318919,Joseph,,Waterfront Communities-The Island,43.6434,-79.40055,Entire home/apt,95,1,49,2017-02-21,1.15,1,0
9238618,WINDOwALL ROOM in Queen West Loft,7309634,Barb,,Little Portugal,43.64147,-79.42381,Private room,65,2,5,2017-09-16,0.14,4,0
9239375,Bright 2nd floor apartment downtown,8328759,Edward,,Trinity-Bellwoods,43.65279,-79.40865,Entire home/apt,101,3,1,2015-11-15,0.02,1,0
9248198,Trendy Condo - Steps to TIFF,18140467,Jake,,Waterfront Communities-The Island,43.6457,-79.38959,Entire home/apt,166,3,6,2019-04-14,0.13,1,28
9249149,Mid-Town Loft With Incredible View!,48061554,Ron & Nadia,,Mount Pleasant West,43.69799,-79.39099,Entire home/apt,175,7,0,,,1,0
9249866,Unfurnished Toronto House,8280084,Pro,,High Park-Swansea,43.63899,-79.47876,Entire home/apt,144,30,49,2017-10-09,1.07,4,263
