,room_id,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
4851,6995720,36681176,Private room,0,,1,1,1,33,1,48.199992,16.34834
4852,6996310,31256364,Entire home/apt,0,,4,2,1,119,,48.229011,16.368462
4853,6997724,36688992,Private room,0,,2,1,1,40,1,48.174933,16.336804
4854,6999250,36695936,Private room,0,,2,1,1,51,2,48.196786,16.35043
4855,6999306,36695936,Private room,0,,4,1,1,89,2,48.197079,16.348757
4856,7001878,24279380,Entire home/apt,0,,5,2,1,107,1,48.22851,16.356909
4857,7002043,36708858,Private room,0,,4,1,1,45,1,48.201282,16.330478
4858,7002726,21199143,Private room,0,,2,1,1,23,2,48.184993,16.370673
4859,7005234,4915291,Private room,4,5,2,1,1,28,1,48.224748,16.316326
4860,7008709,34663614,Entire home/apt,1,5,4,2,1,66,1,48.222501,16.376709
4861,7009143,35171985,Shared room,3,4.5,2,1,1,27,1,48.188494,16.398152
4862,7013552,36768220,Entire home/apt,1,5,2,1,1,42,1,48.218042,16.31989
4863,7014530,13117666,Private room,0,,2,1,1,40,2,48.219207,16.374103
4864,7014548,36717916,Private room,1,4,2,1,1,33,1,48.20626,16.351813
4865,7014809,18398406,Private room,0,,2,1,1,45,1,48.231232,16.356381
4866,7018469,35939595,Private room,1,5,1,1,1,23,5,48.210067,16.331577
4867,7022137,19378060,Entire home/apt,0,,5,2,1,55,4,48.22912,16.355372
4868,7022746,36811037,Entire home/apt,0,,2,1,1,111,1,48.197266,16.395328
4869,7023611,36783472,Entire home/apt,3,4,2,1,1,34,1,48.18234,16.407222
4870,7024214,19966269,Private room,4,5,2,1,1,25,2,48.186042,16.350583
4871,7028479,12073684,Entire home/apt,1,,5,2,1,107,2,48.20311,16.369626
4872,7029155,17676404,Entire home/apt,0,,2,1,1,85,1,48.186599,16.36003
4873,7030354,27901726,Private room,0,,2,1,1,28,2,48.201994,16.310415
4874,7030744,36858070,Entire home/apt,2,4.5,4,1,1,57,2,48.209085,16.332677
4875,7030754,36858741,Entire home/apt,0,,,3,1.5,215,1,48.258722,16.345761
4876,7031124,36531795,Private room,0,,2,1,1,23,1,48.220722,16.381886
4877,7035773,17968819,Private room,1,5,2,1,1,40,1,48.203249,16.354439
4878,7040147,6616739,Private room,0,,2,1,2.5,42,1,48.234311,16.463802
