id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28858651,1 Bedroom Flat in Fancy District ( Bomonti ),116217045,Zehra,,Sisli,41.05501,28.98091,Entire home/apt,244,1,10,2019-08-25,0.89,3,360
28861513,New Flat with 2 Bedrooms - Yepyeni 2+1 Daire,27683799,Melih,,Zeytinburnu,41.02348,28.90202,Entire home/apt,284,2,11,2019-09-08,0.96,5,149
28861621,"CLEAN,PURE-MODERN FLAT at SUPER ELITE NEIGHBORHOOD",40399122,Batuhan,,Beyoglu,41.03326,28.9894,Entire home/apt,250,3,14,2019-07-28,1.15,3,27
28861801,Kadıköy Feneryolu'nda Lüx Daire - Kiralık Oda,199459462,Özlen,,Kadikoy,40.98258,29.04447,Private room,119,3,0,,,1,363
28862992,Penthouse 40 minutes İstanbul Airport,6003668,Melik Fırat,,Bahcelievler,40.99637,28.84089,Entire home/apt,102,1,25,2019-09-06,2.08,2,362
28863577,Cozy Apartment in Besiktas,22268955,Yalkın,,Besiktas,41.04709,29.00245,Private room,159,1,0,,,1,0
28863866,Şişli Mecidiyeköy’de oda Nişantaşı’na çok yakın,217620714,Meltem,,Sisli,41.05924,28.99083,Private room,227,1,5,2019-07-23,0.42,2,2
28866845,Beyoğlu Şehir Evi,216825584,Tünay,,Beyoglu,41.04132,28.9648,Private room,102,1,0,,,1,0
28868360,Cozy/Best Located Room,29968649,Özge,,Besiktas,41.04592,29.00292,Private room,62,1,3,2018-10-18,0.25,1,87
28878609,Old Neighborhood and Local Life Experience,67061142,Sinem,,Kadikoy,40.99528,29.02666,Entire home/apt,91,2,3,2019-06-07,0.26,2,0
28879670,One night per person price 280 turkish liras,217716055,Can,,Bakirkoy,40.97833,28.79637,Private room,199,2,1,2018-10-06,0.08,1,89
28880543,1+1 Modern Flat with pool at Sisli,46833256,Ada,,Sisli,41.04914,28.97447,Entire home/apt,136,15,6,2019-08-21,0.50,1,154
28881223,4 Bedroom Villa with Free Airport transfer,9223194,Arda,,Arnavutkoy,41.21339,28.76288,Entire home/apt,2485,7,1,2018-10-31,0.09,1,83
28881478,boutique flat in a Mansion with a huge garden,41860391,Berk,,Bakirkoy,40.98283,28.78861,Entire home/apt,556,2,1,2018-12-22,0.11,2,170
28881505,Historical warm house in Kadikoy.,217727119,Gülben,,Kadikoy,40.99475,29.03648,Private room,68,2,28,2019-09-26,2.31,2,79
28881794,Private Room with Sea View in old city,217546756,Yasar,,Fatih,41.00789,28.97122,Private room,125,1,30,2019-09-10,2.47,3,336
28881965,İstanbul Birden fazla bölümden oluşan bina,171311029,İdil,,Beyoglu,41.03064,28.98896,Private room,182,1,0,,,1,179
28882542,cosy apartment in central Kadikoy,18400191,Elçin,,Kadikoy,40.9948,29.02654,Entire home/apt,374,4,3,2019-05-29,0.27,1,87
28886211,Private Room with Sea View & Balcony,217546756,Yasar,,Fatih,41.00561,28.9719,Private room,125,1,37,2019-09-14,3.06,3,332
28886529,Family Resort Spa & Thermal,50754165,Ahmet,,Silivri,41.05471,28.35239,Private room,250,1,2,2019-06-15,0.52,1,365
28886633,Private Room with Sea View & Balcony 2,217546756,Yasar,,Fatih,41.00653,28.9703,Private room,125,1,36,2019-09-12,3.02,3,350
28886702,Super comfy and useful private room in Kadıköy!,217759201,Berdiya,,Kadikoy,40.99696,29.02715,Private room,62,3,29,2019-09-16,2.45,1,27
